molecular weight,molecular formula,strength
103.993201,C3H4O2S1,4.34902753627053e-05
114.031695,C5H6O3,3.75928247995928e-05
127.07456200000001,C5H9O1N3,4.49138264443984e-05
131.0041,C4H5O2N1S1,4.01109493853946e-05
146.048013,C8H6O1N2,3.58286557424346e-05
164.047345,C9H8O3,4.11042758746574e-05
166.02661,C8H6O4,3.80147187033945e-05
173.05105,C7H11O2N1S1,3.92423575635674e-05
168.126263,C9H16O1N2,4.0584914794417e-05
169.037509,C7H7O4N1,3.92687224065863e-05
176.10486,C8H16O4,0.000336465644325772
178.04774,C6H10O6,3.94007534785093e-05
180.04226,C9H8O4,9.17508384313817e-05
180.078645,C10H12O3,4.90692604361418e-05
184.037175,C8H8O5,7.27153841613747e-05
188.10486,C9H16O4,3.74640658265895e-05
189.03857200000002,C5H7O5N3,3.84387940064759e-05
190.02661,C10H6O4,4.62647895845415e-05
190.062995,C11H10O3,5.89649149963604e-05
192.04226,C10H8O4,6.64814151490297e-05
194.05791,C10H10O4,6.23870791422853e-05
194.021525,C9H6O5,4.78190741816895e-05
194.09429500000002,C11H14O3,5.30963115582059e-05
196.037175,C9H8O5,7.16181215184987e-05
196.05243000000002,C13H8O2,4.03506024235069e-05
196.07356,C10H12O4,4.16603258341632e-05
197.035795,C5H11O5N1S1,4.78690583134615e-05
198.01644,C8H6O6,6.32778986705665e-05
198.05282499999998,C9H10O5,7.13468569959964e-05
200.014331,C8H8O4S1,4.42219655745626e-05
199.02694400000001,C11H5O3N1,3.9095865318833e-05
200.03209,C8H8O6,6.93519297443408e-05
201.00958,C7H7O4N1S1,4.07116992249689e-05
203.069477,C10H9O2N3,3.9033563803197e-05
202.062995,C12H10O3,5.30407610972373e-05
204.038238,C6H8O6N2,3.88857551968283e-05
204.078645,C12H12O3,4.16207409593023e-05
206.021525,C10H6O5,5.48096690562791e-05
204.04226,C11H8O4,4.7252756601436e-05
206.05791,C11H10O4,7.08315766368224e-05
208.037175,C10H8O5,9.32450405225057e-05
208.07356,C11H12O4,6.61516665596309e-05
206.09429500000002,C12H14O3,4.22747094192358e-05
208.109945,C12H16O3,4.75407765270266e-05
210.05282499999998,C10H10O5,6.66609668759518e-05
209.068809,C10H11O4N1,3.99190802746084e-05
210.01644,C9H6O6,7.44785941550564e-05
212.03209,C9H8O6,7.47766560394004e-05
214.04774,C9H10O6,6.06324254992267e-05
212.06847499999998,C10H12O5,6.54377848401694e-05
216.04226,C12H8O4,3.84964506460594e-05
