molecular weight,molecular formula,strength
122.03678,C7H6O2,1972573.0
126.104465,C8H14O1,1387681.0
130.062995,C6H10O3,777546.0
142.008851,C6H6O2S1,817353.0
142.062995,C7H10O3,804979.0
142.09938,C8H14O2,1526938.0
144.04226,C6H8O4,839520.0
144.078645,C7H12O3,1038312.0
144.11503,C8H16O2,5200048.0
145.052764,C9H7O1N1,9129342.0
146.021525,C5H6O5,773439.0
146.05791,C6H10O4,885800.0
146.094295,C7H14O3,3577776.0
147.068414,C9H9O1N1,3736799.0
148.05243,C9H8O2,4519900.0
149.047679,C8H7O2N1,1241127.0
150.031695,C8H6O3,1366875.0
150.06808,C9H10O2,4106885.0
150.104465,C10H14O1,1125903.0
151.063329,C8H9O2N1,1241959.0
152.047345,C8H8O3,7912017.0
152.08373,C9H12O2,2383324.0
152.120115,C10H16O1,1094824.0
153.078979,C8H11O2N1,798788.0
154.008851,C7H6O2S1,1334530.0
154.02661,C7H6O4,2881352.0
154.045236,C8H10O1S1,975598.0
154.062995,C8H10O3,1808212.0
154.09938,C9H14O2,1988512.0
154.135765,C10H18O1,995883.0
155.021859,C6H5O4N1,863412.0
155.058244,C7H9O3N1,792224.0
156.024501,C7H8O2S1,1789293.0
156.04226,C7H8O4,1227507.0
156.053493,C6H8O3N2,944439.0
156.078645,C8H12O3,1913536.0
156.11503,C9H16O2,3522701.0
158.003766,C6H6O3S1,1060467.0
158.05791,C7H10O4,1212615.0
158.13068,C9H18O2,9027809.999999998
159.068414,C10H9O1N1,1053504.0
160.019416,C6H8O3S1,901740.0
160.07356,C7H12O4,10451392.0
160.109945,C8H16O3,2780111.0
161.047679,C9H7O2N1,4959038.0
162.031695,C9H6O3,1277383.0
162.035066,C6H10O3S1,1127048.0
162.06808,C10H10O2,4008405.0
162.08921,C7H14O4,809950.0
162.104465,C11H14O1,1168484.0
163.026944,C8H5O3N1,1527773.0
163.063329,C9H9O2N1,5152364.000000001
164.014331,C5H8O4S1,830455.0
164.047345,C9H8O3,27269638.0
164.08373,C10H12O2,9420307.999999998
164.120115,C11H16O1,966052.0
165.042594,C8H7O3N1,1732779.0
165.078979,C9H11O2N1,2548667.0
166.008851,C8H6O2S1,2297804.0
166.02661,C8H6O4,219358544.0
166.062995,C9H10O3,12884835.0
166.09938,C10H14O2,2574451.0
166.135765,C11H18O1,1086723.0
167.0041,C7H5O2N1S1,992000.0
167.021859,C7H5O4N1,1665928.0
167.058244,C8H9O3N1,1878296.0
168.024501,C8H8O2S1,3196871.0
168.04226,C8H8O4,3849679.0
168.060886,C9H12O1S1,1022488.0
168.078645,C9H12O3,3308768.0
168.11503,C10H16O2,2656752.0
168.151415,C11H20O1,1270977.0
169.01975,C7H7O2N1S1,1137802.0
169.037509,C7H7O4N1,1400978.0
169.073894,C8H11O3N1,1066595.0
170.003766,C7H6O3S1,1455310.0
170.007137,C4H10O3S2,1045455.0
170.021525,C7H6O5,1465430.0
170.040151,C8H10O2S1,2803935.0
170.05791,C8H10O4,1780071.0
170.094295,C9H14O3,4714616.0
170.13068,C10H18O2,3921289.0
171.0354,C7H9O2N1S1,1247534.0
171.089544,C8H13O3N1,1027464.0
172.019416,C7H8O3S1,2888447.0
172.037175,C7H8O5,938631.0
172.055801,C8H12O2S1,1266448.0
172.07356,C8H12O4,3227032.0
