molecular weight,molecular formula,strength
122.03678,C7H6O2,1972573.0
126.104465,C8H14O1,1387681.0
130.062995,C6H10O3,777546.0
142.062995,C7H10O3,804979.0
142.09938,C8H14O2,1526938.0
144.04226,C6H8O4,839520.0
144.078645,C7H12O3,1038312.0
144.11503,C8H16O2,5200048.0
146.021525,C5H6O5,773439.0
146.05791,C6H10O4,885800.0
146.094295,C7H14O3,3577776.0
148.05243,C9H8O2,4519900.0
150.031695,C8H6O3,1366875.0
150.06808,C9H10O2,4106885.0
150.104465,C10H14O1,1125903.0
152.047345,C8H8O3,7912017.0
152.08373,C9H12O2,2383324.0
152.120115,C10H16O1,1094824.0
154.02661,C7H6O4,2881352.0
154.062995,C8H10O3,1808212.0
154.09938,C9H14O2,1988512.0
154.135765,C10H18O1,995883.0
156.04226,C7H8O4,1227507.0
156.078645,C8H12O3,1913536.0
156.11503,C9H16O2,3522701.0
158.05791,C7H10O4,1212615.0
158.13068,C9H18O2,9027809.999999998
160.07356,C7H12O4,10451392.0
160.109945,C8H16O3,2780111.0
162.031695,C9H6O3,1277383.0
162.06808,C10H10O2,4008405.0
162.08921,C7H14O4,809950.0
162.104465,C11H14O1,1168484.0
164.047345,C9H8O3,27269638.0
164.08373,C10H12O2,9420307.999999998
164.120115,C11H16O1,966052.0
166.02661,C8H6O4,219358544.0
166.062995,C9H10O3,12884835.0
166.09938,C10H14O2,2574451.0
166.135765,C11H18O1,1086723.0
168.04226,C8H8O4,3849679.0
168.078645,C9H12O3,3308768.0
168.11503,C10H16O2,2656752.0
168.151415,C11H20O1,1270977.0
170.021525,C7H6O5,1465430.0
170.05791,C8H10O4,1780071.0
170.094295,C9H14O3,4714616.0
170.13068,C10H18O2,3921289.0
172.037175,C7H8O5,938631.0
172.07356,C8H12O4,3227032.0
172.109945,C9H16O3,4582186.0
172.14633,C10H20O2,7365691.0
174.06808,C11H10O2,1317335.0
174.08921,C8H14O4,14548962.0
174.125595,C9H18O3,3620851.0
176.047345,C10H8O3,2487972.0
176.08373,C11H12O2,2528950.0
176.10486,C8H16O4,4741825.0
178.02661,C9H6O4,3652228.0
178.062995,C10H10O3,5395350.0
178.09938,C11H14O2,59673512.0
180.005875,C8H4O5,1083765.0
180.04226,C9H8O4,9172871.0
180.078645,C10H12O3,11165594.0
180.11503,C11H16O2,3356461.0
182.021525,C8H6O5,6372232.0
182.05791,C9H10O4,17738650.0
182.094295,C10H14O3,4501166.000000001
182.13068,C11H18O2,2488513.0
184.037175,C8H8O5,2046889.0
184.07356,C9H12O4,4222908.0
184.109945,C10H16O3,5813712.0
184.14633,C11H20O2,3314147.0
186.052825,C8H10O5,2222166.0
186.06808,C12H10O2,6210014.0
186.08921,C9H14O4,5976041.0
186.125595,C10H18O3,4219901.0
186.16198,C11H22O2,12678160.0
188.047345,C11H8O3,1773185.0
188.068475,C8H12O5,1962508.0
188.10486,C9H16O4,48312352.0
188.141245,C10H20O3,30908468.0
190.02661,C10H6O4,1949867.0
190.062995,C11H10O3,3289919.0
190.084125,C8H14O5,2479690.0
190.09938,C12H14O2,1412179.0
190.12051,C9H18O4,1214942.0
192.04226,C10H8O4,6416495.0
192.078645,C11H12O3,4853379.0
192.11503,C12H16O2,2705558.0
194.021525,C9H6O5,3612194.0
194.05791,C10H10O4,9290934.0
