molecular weight,molecular formula,strength
145.052764,C9H7O1N1,9129342.0
147.068414,C9H9O1N1,3736799.0
149.047679,C8H7O2N1,1241127.0
151.063329,C8H9O2N1,1241959.0
153.078979,C8H11O2N1,798788.0
155.021859,C6H5O4N1,863412.0
155.058244,C7H9O3N1,792224.0
156.053493,C6H8O3N2,944439.0
159.068414,C10H9O1N1,1053504.0
161.047679,C9H7O2N1,4959038.0
163.026944,C8H5O3N1,1527773.0
163.063329,C9H9O2N1,5152364.000000001
165.042594,C8H7O3N1,1732779.0
165.078979,C9H11O2N1,2548667.0
167.021859,C7H5O4N1,1665928.0
167.058244,C8H9O3N1,1878296.0
169.037509,C7H7O4N1,1400978.0
169.073894,C8H11O3N1,1066595.0
171.089544,C8H13O3N1,1027464.0
173.047679,C10H7O2N1,6150634.0
173.105194,C8H15O3N1,4304134.0
175.063329,C10H9O2N1,4135614.0
177.042594,C9H7O3N1,1865237.0
177.078979,C10H11O2N1,1311015.0
179.021859,C8H5O4N1,1039741.0
179.058244,C9H9O3N1,2501008.0
179.094629,C10H13O2N1,1249826.0
181.037509,C8H7O4N1,1596809.0
181.073894,C9H11O3N1,3063452.0
182.105528,C9H14O2N2,1198772.0
183.016774,C7H5O5N1,850960.0
183.053159,C8H9O4N1,2355619.0
183.089544,C9H13O3N1,2400183.0
184.121178,C9H16O2N2,1206613.0
185.068809,C8H11O4N1,1367115.0
185.105194,C9H15O3N1,2493662.0
187.063329,C11H9O2N1,1924849.0
187.084459,C8H13O4N1,1211517.0
187.120844,C9H17O3N1,3556880.0
189.042594,C10H7O3N1,5657368.0
189.078979,C11H11O2N1,2458284.0
191.058244,C10H9O3N1,3622745.0
192.053493,C9H8O3N2,1019381.0
193.037509,C9H7O4N1,2134923.0
193.073894,C10H11O3N1,2472863.0
195.053159,C9H9O4N1,2937044.0
195.089544,C10H13O3N1,2215783.0
196.084793,C9H12O3N2,966981.0
197.032424,C8H7O5N1,1380617.0
198.136828,C10H18O2N2,1965793.0
199.048074,C8H9O5N1,1183952.0
201.078979,C12H11O2N1,854429.0
201.136494,C10H19O3N1,4051388.0
203.058244,C11H9O3N1,2928584.0
203.094629,C12H13O2N1,1339356.0
203.115759,C9H17O4N1,1566823.0
204.089878,C11H12O2N2,4966386.0
205.037509,C10H7O4N1,3257580.0
207.016774,C9H5O5N1,915975.0
207.053159,C10H9O4N1,7324698.0
208.059641,C8H8O3N4,1329196.0
209.032424,C9H7O5N1,1943338.0
211.048074,C9H9O5N1,2603583.0
211.120844,C11H17O3N1,1567845.0
213.027339,C8H7O6N1,1355443.0
213.063724,C9H11O5N1,1481414.0
213.136494,C11H19O3N1,1268970.0
215.058244,C12H9O3N1,1033522.0
215.079374,C9H13O5N1,1294141.0
215.094629,C13H13O2N1,1321028.0
215.115759,C10H17O4N1,2539855.0
215.152144,C11H21O3N1,3047521.0
216.089878,C12H12O2N2,928564.0
217.037509,C11H7O4N1,1328649.0
217.058639,C8H11O6N1,896276.0
217.073894,C12H11O3N1,1800475.0
217.131409,C10H19O4N1,3665976.0
218.069143,C11H10O3N2,1010949.0
219.053159,C11H9O4N1,4001253.0
219.089544,C12H13O3N1,2710775.0
219.110674,C9H17O5N1,4736002.0
221.032424,C10H7O5N1,2380451.0
221.068809,C11H11O4N1,3507637.0
221.105194,C12H15O3N1,4817862.000000001
222.027673,C9H6O5N2,941440.0
223.048074,C10H9O5N1,2768231.0
223.084459,C11H13O4N1,3745144.0
223.120844,C12H17O3N1,1431945.0
224.079708,C10H12O4N2,1033808.0
224.116093,C11H16O3N2,1124065.0
225.027339,C9H7O6N1,1289231.0
225.063724,C10H11O5N1,4411680.0
226.058973,C9H10O5N2,2039282.0
226.074228,C13H10O2N2,1269497.0
227.042989,C9H9O6N1,3122877.0
227.079374,C10H13O5N1,2831566.0
228.053493,C12H8O3N2,1403794.0
228.111008,C10H16O4N2,16197805.0
228.147393,C11H20O3N2,1846974.0
229.048742,C11H7O3N3,2614110.0
229.058639,C9H11O6N1,1370723.0
229.073894,C13H11O3N1,1528682.0
229.095024,C10H15O5N1,2342515.0
229.131409,C11H19O4N1,2657412.0
229.167794,C12H23O3N1,1614869.0
230.105528,C13H14O2N2,1046724.0
230.126658,C10H18O4N2,2346830.0
231.053159,C12H9O4N1,1683446.0
231.074289,C9H13O6N1,1393663.0
231.089544,C13H13O3N1,1863686.0
231.110674,C10H17O5N1,4775440.0
231.147059,C11H21O4N1,5294624.999999999
232.084793,C12H12O3N2,1582540.0
233.032424,C11H7O5N1,2375035.0
237.027339,C10H7O6N1,1568385.0
241.073894,C14H11O3N1,1004425.0
244.178693,C12H24O3N2,3459812.0
245.162709,C12H23O4N1,1793429.0
251.094629,C16H13O2N1,1320897.0
253.022254,C10H7O7N1,1462031.0
254.069143,C14H10O3N2,995034.0
255.053159,C14H9O4N1,1196939.0
257.032424,C13H7O5N1,1078771.0
257.199094,C14H27O3N1,1147708.0
258.027673,C12H6O5N2,1612970.0
265.022254,C11H7O7N1,1770964.0
268.080771,C10H12O5N4,1176635.0
271.032819,C10H9O8N1,1645441.0
271.048074,C14H9O5N1,1367432.0
271.2147440000001,C15H29O3N1,1019861.0
276.038238,C12H8O6N2,1192093.0
277.022254,C12H7O7N1,1304943.0
283.032819,C11H9O8N1,1659335.0
283.048074,C15H9O5N1,1188303.0
283.084459,C16H13O4N1,1372641.0
283.09167,C10H13O5N5,1182948.0
285.168857,C13H23O4N3,7293419.0
287.042989,C14H9O6N1,1327258.0
287.184507,C13H25O4N3,10633697.0
287.209659,C15H29O4N1,1341166.0
289.152539,C13H23O6N1,2606030.0
289.188924,C14H27O5N1,1624544.0
291.037904,C13H9O7N1,2899869.0
291.131804,C12H21O7N1,1251534.0
291.1834440000001,C17H25O3N1,1483753.0
293.017169,C12H7O8N1,1583275.0
295.032819,C12H9O8N1,2463195.0
297.063724,C16H11O5N1,1160740.0
299.042989,C15H9O6N1,1306720.0
299.1845070000001,C14H25O4N3,3687087.0
301.022254,C14H7O7N1,1181101.0
301.200157,C14H27O4N3,17286928.0
301.225309,C16H31O4N1,3826463.0
302.017503,C13H6O7N2,2118364.0
303.037904,C14H9O7N1,1875230.0
303.168189,C14H25O6N1,2167144.0
304.163438,C13H24O6N2,1897377.0
307.032819,C13H9O8N1,2647584.0
308.079708,C17H12O4N2,5835400.0
309.048469,C13H11O8N1,3872966.0
311.0277340000001,C12H9O9N1,1222760.0
313.058639,C16H11O6N1,1307452.0
313.200157,C15H27O4N3,4167315.0
315.037904,C15H9O7N1,1503747.0
315.215807,C15H29O4N3,4905842.0
315.240959,C17H33O4N1,1281154.0
317.028402,C13H7O7N3,1236964.0
317.053554,C15H11O7N1,2370036.0
317.183839,C15H27O6N1,1915975.0
317.195072,C14H27O5N3,1893454.0
317.220224,C16H31O5N1,1305438.0
318.179088,C14H26O6N2,1321663.0
319.032819,C14H9O8N1,1461473.0
319.163104,C14H25O7N1,2220853.0
322.043718,C13H10O8N2,1346181.0
322.058973,C17H10O5N2,2294927.0
323.0277340000001,C13H9O9N1,1556751.0
323.158019,C13H25O8N1,3725157.0
325.043384,C13H11O9N1,2566224.0
327.215807,C16H29O4N3,30279186.0
327.240959,C18H33O4N1,2276387.0
329.053554,C16H11O7N1,1723652.0
329.158687,C14H23O6N3,32508748.0
329.231457,C16H31O4N3,5086080.0
329.256609,C18H35O4N1,5435281.0
331.032819,C15H9O8N1,1671276.0
331.199489,C16H29O6N1,2395874.0
331.210722,C15H29O5N3,6955242.0
333.048469,C15H11O8N1,2803204.0
333.142369,C14H23O8N1,1540167.0
333.178754,C15H27O7N1,1793121.0
335.0277340000001,C14H9O9N1,1932695.0
335.121634,C13H21O9N1,1448924.0
337.043384,C14H11O9N1,3498332.0
341.231457,C17H31O4N3,25988516.0
342.190321,C15H26O5N4,14561410.0
343.032819,C16H9O8N1,1451788.0
343.174337,C15H25O6N3,61395832.0
343.235874,C18H33O5N1,12956585.0
343.247107,C17H33O4N3,5190578.0
343.2722590000001,C19H37O4N1,1488325.0
344.205971,C15H28O5N4,5412508.0
345.048469,C16H11O8N1,2185520.0
345.142369,C15H23O8N1,2186617.0
345.178754,C16H27O7N1,2700694.0
345.189987,C15H27O6N3,22788510.0
345.215139,C17H31O6N1,1348019.0
345.226372,C16H31O5N3,4901308.0
345.251524,C18H35O5N1,8442319.0
346.043718,C15H10O8N2,1335873.0
346.174003,C15H26O7N2,1353640.0
347.0277340000001,C15H9O9N1,1462607.0
347.064119,C16H13O8N1,3622764.0
347.158019,C15H25O8N1,1605047.0
347.169252,C14H25O7N3,3276736.0
347.194404,C16H29O7N1,2421204.0
348.153268,C14H24O8N2,1720021.0
349.043384,C15H11O9N1,2995620.0
349.1372840000001,C14H23O9N1,1402096.0
352.054283,C14H12O9N2,1525577.0
353.038299,C14H11O10N1,2173053.0
355.053949,C14H13O10N1,2833695.0
355.069204,C18H13O7N1,1832748.0
355.2722590000001,C20H37O4N1,2488793.0
356.205971,C16H28O5N4,6495478.0
357.069599,C14H15O10N1,2136028.0
357.189987,C16H27O6N3,26296388.0
357.215139,C18H31O6N1,3999833.0
357.251524,C19H35O5N1,1884281.0
357.262757,C18H35O4N3,1562499.0
358.221621,C16H30O5N4,11867074.0
359.085249,C14H17O10N1,1841331.0
359.158019,C16H25O8N1,3112691.0
359.194404,C17H29O7N1,2769683.0
359.205637,C16H29O6N3,52086556.0
359.230789,C18H33O6N1,3882803.0
361.043384,C16H11O9N1,2514292.0
361.1372840000001,C15H23O9N1,1581511.0
361.173669,C16H27O8N1,1763816.0
361.184902,C15H27O7N3,6718962.0
361.188924,C20H27O5N1,1494773.0
362.168918,C15H26O8N2,1722721.0
363.189319,C16H29O8N1,1719033.0
365.038299,C15H11O10N1,2838415.0
367.053949,C15H13O10N1,3547867.0
367.147849,C14H25O10N1,1739058.0
367.199489,C19H29O6N1,1831267.0
368.205971,C17H28O5N4,1501972.0
369.069599,C15H15O10N1,3938886.0
369.084854,C19H15O7N1,1570901.0
369.251524,C20H35O5N1,2352371.0
370.054951,C16H10O7N4,1712627.0
370.221621,C17H30O5N4,5576339.0
371.064119,C18H13O8N1,1957822.0
371.194404,C18H29O7N1,2356284.0
371.230789,C19H33O6N1,3027552.0
371.242022,C18H33O5N3,2075754.0
371.2671740000001,C20H37O5N1,6933123.0
372.200886,C16H28O6N4,4437519.0
372.237271,C17H32O5N4,6960691.0
373.043384,C17H11O9N1,2370889.0
373.173669,C17H27O8N1,2528713.0
373.210054,C18H31O7N1,4300269.0
373.221287,C17H31O6N3,32135672.0
373.246439,C19H35O6N1,3408401.0
374.086251,C16H14O7N4,1808719.0
374.180151,C15H26O7N4,6170029.0
374.216536,C16H30O6N4,4425169.000000001
375.0226490000001,C16H9O10N1,1489141.0
375.0590340000001,C17H13O9N1,2886938.0
375.152934,C16H25O9N1,1547640.0
375.164167,C15H25O8N3,6510979.0
375.189319,C17H29O8N1,1566620.0
375.200552,C16H29O7N3,2498984.0
375.225704,C18H33O7N1,6644161.0
377.038299,C16H11O10N1,2511593.0
379.053949,C16H13O10N1,4104451.0
380.179483,C15H28O9N2,3026330.0
381.033214,C15H11O11N1,1616157.0
381.1271140000001,C14H23O11N1,8313216.0
382.221621,C18H30O5N4,6049292.0
383.0277340000001,C18H9O9N1,5622125.0
383.048864,C15H13O11N1,2047364.0
383.100504,C20H17O7N1,1844155.0
383.173274,C22H25O5N1,2061322.0
383.194404,C19H29O7N1,1835553.0
383.230789,C20H33O6N1,2328136.0
384.237271,C18H32O5N4,10647179.0
385.043384,C18H11O9N1,1696252.0
385.064514,C15H15O11N1,1874963.0
385.0797690000001,C19H15O8N1,2613796.0
385.173669,C18H27O8N1,2635403.0
385.188924,C22H27O5N1,3267228.0
385.210054,C19H31O7N1,2382003.0
385.246439,C20H35O6N1,2628315.0
385.2828240000001,C21H39O5N1,1792259.0
386.180151,C16H26O7N4,22900450.0
386.216536,C17H30O6N4,8822538.0
386.252921,C18H34O5N4,6008627.0
387.0226490000001,C17H9O10N1,1891980.0
387.0590340000001,C18H13O9N1,2789044.0
387.080164,C15H17O11N1,2015948.0
387.091397,C14H17O10N3,1698008.0
387.152934,C17H25O9N1,2504989.0
387.189319,C18H29O8N1,2382662.0
387.225704,C19H33O7N1,2371439.0
387.2620890000001,C20H37O6N1,4750232.0
388.195801,C16H28O7N4,5605298.0
388.232186,C17H32O6N4,13551579.0
389.038299,C17H11O10N1,2678638.0
389.074684,C18H15O9N1,3144599.0
389.1321990000001,C16H23O10N1,1640409.0
389.1685840000001,C17H27O9N1,2379779.0
389.179817,C16H27O8N3,8188943.0
389.204969,C18H31O8N1,2779180.0
391.053949,C17H13O10N1,3522684.0
391.220619,C18H33O8N1,2042174.0
391.247107,C21H33O4N3,2002268.0
393.033214,C16H11O11N1,2126220.0
393.069599,C17H15O10N1,4720054.999999999
395.048864,C16H13O11N1,3170036.0
395.142764,C15H25O11N1,10028901.0
395.179149,C16H29O10N1,1710481.0
395.194404,C20H29O7N1,1779107.0
395.230789,C21H33O6N1,1783247.0
396.174398,C15H28O10N2,1939016.0
396.237271,C19H32O5N4,3226773.0
397.064514,C16H15O11N1,3732619.0
397.1372840000001,C18H23O9N1,3852516.0
397.210054,C20H31O7N1,2769214.0
397.246439,C21H35O6N1,2063210.0
398.190048,C15H30O10N2,2137594.0
398.252921,C19H34O5N4,9205320.0
399.0590340000001,C19H13O9N1,2084407.0
399.080164,C16H17O11N1,3324497.0
399.095419,C20H17O8N1,1956708.0
399.116549,C17H21O10N1,3716735.0
399.152934,C18H25O9N1,3373741.0
399.168189,C22H25O6N1,7545536.0
399.211785,C17H29O6N5,6234870.0
399.225704,C20H33O7N1,3756808.0
400.195801,C17H28O7N4,52146128.0
400.232186,C18H32O6N4,4568062.0
400.268571,C19H36O5N4,7131180.0
401.038299,C18H11O10N1,2055168.0
401.074684,C19H15O9N1,2641454.0
401.095814,C16H19O11N1,2825289.0
401.1321990000001,C17H23O10N1,2240632.0
401.147454,C21H23O7N1,2248331.0
401.1685840000001,C18H27O9N1,2272422.0
401.204969,C19H31O8N1,2270933.0
401.227435,C17H31O6N5,6337778.0
401.241354,C20H35O7N1,5078275.0
401.2777390000001,C21H39O6N1,2397490.0
402.175066,C16H26O8N4,6093236.0
402.211451,C17H30O7N4,32389604.0
402.247836,C18H34O6N4,10111506.0
403.053949,C18H13O10N1,3481128.0
403.147849,C17H25O10N1,1872034.0
403.159082,C16H25O9N3,2441393.0
403.163104,C21H25O7N1,2023606.0
403.195467,C17H29O8N3,4068065.0
403.220619,C19H33O8N1,2080002.0
403.2570040000001,C20H37O7N1,1944369.0
404.190716,C16H28O8N4,4903930.0
405.033214,C17H11O11N1,2427988.0
405.069599,C18H15O10N1,4010116.0
405.142369,C20H23O8N1,3775717.0
405.1998840000001,C18H31O9N1,1727281.0
406.174003,C20H26O7N2,3269191.0
407.048864,C17H13O11N1,3235555.0
407.132867,C18H21O8N3,4563797.0
407.205637,C20H29O6N3,22410168.0
408.080498,C17H16O10N2,2081887.0
408.116883,C18H20O9N2,3445905.0
408.153268,C19H24O8N2,3315906.0
409.064514,C17H15O11N1,3982759.0
409.100899,C18H19O10N1,5385690.0
409.1372840000001,C19H23O9N1,4256268.0
409.184902,C19H27O7N3,16301646.0
409.200157,C23H27O4N3,3765859.0
409.210054,C21H31O7N1,2218608.0
409.246439,C22H35O6N1,1914530.0
410.132533,C18H22O9N2,3210098.0
410.168918,C19H26O8N2,1763749.0
411.080164,C17H17O11N1,3942562.0
411.1754,C17H25O7N5,2424104.0
411.189319,C20H29O8N1,2215228.0
411.2620890000001,C22H37O6N1,2001827.0
412.148183,C18H24O9N2,2468490.0
412.159416,C17H24O8N4,4017818.0
412.195801,C18H28O7N4,4212430.0
412.232186,C19H32O6N4,19869442.0
412.268571,C20H36O5N4,3182389.0
413.0594290000001,C16H15O12N1,1854368.0
413.095814,C17H19O11N1,3678165.0
413.111069,C21H19O8N1,2079722.0
413.1321990000001,C18H23O10N1,3251209.0
413.158687,C21H23O6N3,2849839.0
413.1685840000001,C19H27O9N1,2137149.0
413.179817,C18H27O8N3,5182540.999999999
413.19105,C17H27O7N5,5489757.0
413.204969,C20H31O8N1,2415729.0
413.216202,C19H31O7N3,2573954.0
413.227435,C18H31O6N5,8379538.0
413.241354,C21H35O7N1,3764389.0
413.2777390000001,C22H39O6N1,2399450.0
414.112193,C13H22O13N2,21297550.0
414.175066,C17H26O8N4,27605482.0
414.190321,C21H26O5N4,2216449.0
414.211451,C18H30O7N4,37354015.99999999
414.247836,C19H34O6N4,7998036.0
414.284221,C20H38O5N4,4330121.0
415.053949,C19H13O10N1,2236139.0
415.090334,C20H17O9N1,2192673.0
415.111464,C17H21O11N1,2894655.0
415.147849,C18H25O10N1,2022261.0
415.174337,C21H25O6N3,2105756.0
415.18557,C20H25O5N5,6195116.0
415.195467,C18H29O8N3,4542394.999999999
415.220619,C20H33O8N1,2286048.0
415.231852,C19H33O7N3,2388976.0
415.243085,C18H33O6N5,13189120.0
415.2570040000001,C21H37O7N1,2581525.0
416.121968,C20H20O8N2,2053902.0
416.158353,C21H24O7N2,1756484.0
416.169586,C20H24O6N4,23086420.0
416.190716,C17H28O8N4,12260724.0
416.227101,C18H32O7N4,62473640.0
416.263486,C19H36O6N4,5219808.0
417.033214,C18H11O11N1,1858136.0
417.069599,C19H15O10N1,2494606.0
