molecular weight,molecular formula,strength
167.0041,C7H5O2N1S1,992000.0
169.01975,C7H7O2N1S1,1137802.0
171.0354,C7H9O2N1S1,1247534.0
173.014665,C6H7O3N1S1,828762.0
174.99393,C5H5O4N1S1,892284.0
177.045965,C6H11O3N1S1,1204310.0
181.01975,C8H7O2N1S1,1660032.0
182.999015,C7H5O3N1S1,1172103.0
183.0354,C8H9O2N1S1,1843354.0
185.014665,C7H7O3N1S1,1143022.0
187.030315,C7H9O3N1S1,1485024.0
191.061615,C7H13O3N1S1,3227995.0
194.999015,C8H5O3N1S1,1588150.0
195.0354,C9H9O2N1S1,1554634.0
197.014665,C8H7O3N1S1,1598847.0
197.05105,C9H11O2N1S1,1369875.0
198.99393,C7H5O4N1S1,894131.0
199.030315,C8H9O3N1S1,2060103.0
201.00958,C7H7O4N1S1,1032311.0
201.045965,C8H11O3N1S1,1246347.0
203.061615,C8H13O3N1S1,885642.0
205.077265,C8H15O3N1S1,2423809.0
207.0354,C10H9O2N1S1,1898001.0
209.014665,C9H7O3N1S1,2714145.0
210.99393,C8H5O4N1S1,1086627.0
211.030315,C9H9O3N1S1,1949942.0
212.991821,C8H7O2N1S2,871201.0
213.045965,C9H11O3N1S1,2024765.0
214.971086,C7H5O3N1S2,2450951.0
215.02523,C8H9O4N1S1,2548770.0
215.061615,C9H13O3N1S1,1096500.0
217.04088,C8H11O4N1S1,1800203.0
219.002386,C7H9O3N1S2,1240525.0
219.05653,C8H13O4N1S1,901415.0
219.092915,C9H17O3N1S1,1238777.0
221.05105,C11H11O2N1S1,3146156.0
223.030315,C10H9O3N1S1,4015455.0
225.00958,C9H7O4N1S1,1907974.0
225.045965,C10H11O3N1S1,981143.0
225.067095,C7H15O5N1S1,3615009.0
226.974457,C5H9O3N1S3,1295773.0
227.02523,C9H9O4N1S1,2163893.0
227.061615,C10H13O3N1S1,1853126.0
229.04088,C9H11O4N1S1,2656859.0
229.077265,C10H15O3N1S1,1074539.0
231.002386,C8H9O3N1S2,953055.0
231.020145,C8H9O5N1S1,2288103.0
231.05653,C9H13O4N1S1,2432503.0
233.05105,C12H11O2N1S1,1565059.0
233.108565,C10H19O3N1S1,1052317.0
