molecular weight,molecular formula,strength
142.008851,C6H6O2S1,817353.0
154.008851,C7H6O2S1,1334530.0
154.045236,C8H10O1S1,975598.0
156.024501,C7H8O2S1,1789293.0
158.003766,C6H6O3S1,1060467.0
160.019416,C6H8O3S1,901740.0
162.035066,C6H10O3S1,1127048.0
164.014331,C5H8O4S1,830455.0
166.008851,C8H6O2S1,2297804.0
168.024501,C8H8O2S1,3196871.0
168.060886,C9H12O1S1,1022488.0
170.003766,C7H6O3S1,1455310.0
170.007137,C4H10O3S2,1045455.0
170.040151,C8H10O2S1,2803935.0
172.019416,C7H8O3S1,2888447.0
172.055801,C8H12O2S1,1266448.0
173.980922,C6H6O2S2,940397.0
173.998681,C6H6O4S1,879478.0
174.071451,C8H14O2S1,1343257.0
176.014331,C6H8O4S1,1022868.0
176.087101,C8H16O2S1,1116984.0
178.012222,C6H10O2S2,919165.0
178.029981,C6H10O4S1,1546726.0
180.024501,C9H8O2S1,1028414.0
182.003766,C8H6O3S1,2143615.0
182.040151,C9H10O2S1,2872466.0
184.019416,C8H8O3S1,5984672.0
184.055801,C9H12O2S1,3146163.0
185.980922,C7H6O2S2,2312879.0
185.998681,C7H6O4S1,2291641.0
186.035066,C8H10O3S1,2964428.0
186.071451,C9H14O2S1,1299936.0
187.996572,C7H8O2S2,1047654.0
188.014331,C7H8O4S1,8860142.999999998
190.029981,C7H10O4S1,2514093.0
192.045631,C7H12O4S1,1874161.0
194.003766,C9H6O3S1,1741977.0
194.007137,C6H10O3S2,1111194.0
194.040151,C10H10O2S1,1520684.0
194.097666,C8H18O3S1,1060684.0
196.019416,C9H8O3S1,2124770.0
196.055801,C10H12O2S1,1896949.0
196.092186,C11H16O1S1,3806473.0
197.998681,C8H6O4S1,1066134.0
198.002052,C5H10O4S2,958232.0
198.035066,C9H10O3S1,6434090.0
198.071451,C10H14O2S1,1992766.0
199.977946,C7H4O5S1,884297.0
199.996572,C8H8O2S2,2099411.0
200.014331,C8H8O4S1,11017564.0
200.050716,C9H12O3S1,5839216.0
200.087101,C10H16O2S1,1183876.0
201.975837,C7H6O3S2,880385.0
201.993596,C7H6O5S1,1026699.0
202.012222,C8H10O2S2,948629.0
202.029981,C8H10O4S1,3671454.0
202.066366,C9H14O3S1,1669042.0
203.937343,C6H4O2S3,1433888.0
203.991487,C7H8O3S2,1380797.0
204.009246,C7H8O5S1,1628870.0
204.027872,C8H12O2S2,986704.0
204.045631,C8H12O4S1,3661786.0
204.082016,C9H16O3S1,1268461.0
206.007137,C7H10O3S2,906864.0
206.024896,C7H10O5S1,1064570.0
206.040151,C11H10O2S1,1011970.0
206.043522,C8H14O2S2,1064323.0
206.061281,C8H14O4S1,3119629.0
206.097666,C9H18O3S1,951584.0
207.986402,C6H8O4S2,1135366.0
208.019416,C10H8O3S1,2615831.0
208.022787,C7H12O3S2,1170969.0
208.055801,C11H12O2S1,3369514.0
208.059172,C8H16O2S2,978348.0
209.998681,C9H6O4S1,3393569.0
210.002052,C6H10O4S2,2243107.0
210.035066,C10H10O3S1,2622004.0
210.038437,C7H14O3S2,855989.0
210.056196,C7H14O5S1,6330943.0
210.071451,C11H14O2S1,2062919.0
211.996572,C9H8O2S2,902822.0
212.014331,C9H8O4S1,3296047.0
212.017702,C6H12O4S2,1020977.0
212.050716,C10H12O3S1,6408770.0
212.087101,C11H16O2S1,1117140.0
213.993596,C8H6O5S1,1092764.0
214.012222,C9H10O2S2,949669.0
214.029981,C9H10O4S1,10058286.0
214.066366,C10H14O3S1,3326272.0
214.102751,C11H18O2S1,1373011.0
215.991487,C8H8O3S2,1483779.0
216.009246,C8H8O5S1,4250124.0
216.027872,C9H12O2S2,2405142.0
216.045631,C9H12O4S1,5904927.0
216.082016,C10H16O3S1,2615344.0
216.118401,C11H20O2S1,2894915.0
217.988511,C7H6O6S1,1307101.0
218.007137,C8H10O3S2,1004518.0
218.024896,C8H10O5S1,2944751.0
218.061281,C9H14O4S1,4495873.0
218.097666,C10H18O3S1,2187539.0
218.134051,C11H22O2S1,1217828.0
219.986402,C7H8O4S2,1408682.0
220.022787,C8H12O3S2,1029692.0
220.040546,C8H12O5S1,2256069.0
220.076931,C9H16O4S1,4682198.000000001
221.998681,C10H6O4S1,981875.0
222.002052,C7H10O4S2,1782644.0
222.035066,C11H10O3S1,2622596.0
222.038437,C8H14O3S2,1232774.0
222.056196,C8H14O5S1,3492238.0
222.092581,C9H18O4S1,962207.0
224.014331,C10H8O4S1,3197489.0
224.017702,C7H12O4S2,1670963.0
224.050716,C11H12O3S1,2822466.0
224.071846,C8H16O5S1,3044172.0
224.087101,C12H16O2S1,5335891.999999999
225.993596,C9H6O5S1,994516.0
226.029981,C10H10O4S1,4995813.0
226.033352,C7H14O4S2,1402214.0
226.066366,C11H14O3S1,4907254.000000001
226.102751,C12H18O2S1,1209095.0
228.009246,C9H8O5S1,3467390.0
228.027872,C10H12O2S2,1175366.0
228.045631,C10H12O4S1,10877071.0
228.082016,C11H16O3S1,3560096.0
228.118401,C12H20O2S1,1647024.0
229.970752,C8H6O4S2,1016838.0
230.007137,C9H10O3S2,1457687.0
230.024896,C9H10O5S1,10550303.0
230.043522,C10H14O2S2,1852328.0
230.061281,C10H14O4S1,7502896.0
230.097666,C11H18O3S1,3174464.0
230.134051,C12H22O2S1,1657681.0
231.968643,C8H8O2S3,975511.0
231.986402,C8H8O4S2,1754271.0
232.004161,C8H8O6S1,2026663.0
232.022787,C9H12O3S2,1206832.0
232.040546,C9H12O5S1,4359096.0
232.076931,C10H16O4S1,4888008.999999999
232.113316,C11H20O3S1,2204633.0
233.947908,C7H6O3S3,1008153.0
234.002052,C8H10O4S2,2587953.0
234.035066,C12H10O3S1,1383488.0
234.038437,C9H14O3S2,954178.0
234.056196,C9H14O5S1,3084618.0
