reasult,count
48.158808,2.0
-16.818136,1.0
59.240169,2.0
-6.065576,2.0
-83.917333,1.0
733.27885,1.0
58.183167,1.0
-21.88107,1.0
267.229726,10.0
691.365508,1.0
238.457872,7.0
-76.950408,1.0
-247.230866,1.0
-360.360345,1.0
-26.735941,3.0
-32.775498,1.0
157.170949,1.0
65.134368,62.0
128.2504,33.0
178.118006,2.0
-165.809167,5.0
6.966058,1.0
-167.828188,1.0
80.0626,10.0
166.269421,1.0
129.153784,1.0
92.523505,1.0
42.399567,1.0
132.2817,4.0
-48.911246,2.0
83.144933,63.0
194.234477,4.0
35.192551,16.0
-117.91158,1.0
143.276554,8.0
46.285327,3.0
798.353017,1.0
111.223851,107.0
-17.943153,6.0
-96.897327,17.0
70.270072,40.0
303.432781,6.0
58.127903,1.0
343.333796,13.0
-164.1565,4.0
26.239835,1.0
466.939709,1.0
-55.688384,1.0
532.002643,1.0
88.192612,1.0
-139.866287,1.0
-235.109611,2.0
269.275886,1.0
389.433176,1.0
286.385102,26.0
43.235357,1.0
128.118779,1.0
169.292204,2.0
117.967108,1.0
503.971343,1.0
2.279375,1.0
-191.881465,2.0
150.415808,1.0
0.396864,1.0
88.259507,39.0
-111.845353,1.0
78.15023,1.0
-176.087101,1.0
-41.683967,8.0
-329.318146,2.0
421.434239,1.0
363.364033,1.0
-73.060157,1.0
70.106773,9.0
-132.993262,1.0
-13.909866,2.0
352.089332,1.0
258.484087,2.0
-1.777077,6.0
385.879873,1.0
111.249003,68.0
-141.115364,2.0
-440.76076,1.0
-98.793456,2.0
77.101354,4.0
65.172089,3.0
-55.882011,10.0
383.386226,2.0
161.337423,6.0
232.298612,1.0
422.911507,1.0
115.119508,1.0
-19.751257,4.0
-28.761957,4.0
210.436938,3.0
155.144933,2.0
-147.984367,1.0
35.025881,13.0
-175.109611,2.0
198.16198,8.0
147.254878,1.0
670.305672,1.0
-9.919442,9.0
-18.02582,1.0
30.11972,70.0
6.081999,6.0
14.14006,2.0
83.290473,17.0
-141.871173,4.0
-142.19328,1.0
-146.933638,1.0
-102.716769,1.0
26.360007,2.0
-73.765193,1.0
142.239562,2.0
368.401815,13.0
318.411317,31.0
-5.855128,110.0
589.867989,1.0
83.195922,1.0
343.370181,23.0
-6.755141,1.0
60.223318,1.0
422.291992,1.0
378.192356,1.0
-108.846554,1.0
183.244981,65.0
-75.980996,2.0
325.393497,2.0
80.117611,2.0
-51.849375,16.0
645.287258,1.0
372.454245,2.0
148.389792,2.0
-100.746233,2.0
-286.33882,1.0
-109.756933,2.0
80.189514,2.0
-57.969095,10.0
-282.63008,1.0
-2.844229,95.0
-84.835321,6.0
395.459863,1.0
-51.886627,1.0
327.338881,18.0
-48.876197,13.0
-86.836367,1.0
100.477817,1.0
1.220085,1.0
-148.182715,2.0
-95.847067,1.0
-45.972466,1.0
115.088481,32.0
277.307976,2.0
383.328711,3.0
181.148699,1.0
181.247957,2.0
-149.937144,1.0
155.270329,1.0
-33.89429,1.0
145.267052,2.0
514.91257,1.0
69.228541,22.0
48.055011,1.0
-57.003705,3.0
275.377196,1.0
536.945189,1.0
44.0626,32.0
1.23534,2.0
85.977278,2.0
317.248747,1.0
30.010565,4.0
169.166458,2.0
367.380078,2.0
-55.848997,1.0
-65.844762,1.0
100.24961,1.0
-526.909199,1.0
99.176233,56.0
680.311152,1.0
173.418055,1.0
81.243145,1.0
246.30752,3.0
-74.855462,1.0
276.444999,1.0
352.377908,2.0
136.014058,1.0
497.002431,1.0
212.162375,6.0
107.11641,2.0
-96.810169,1.0
389.409542,2.0
59.288438,1.0
-17.839873,3.0
271.391311,1.0
142.17215,60.0
273.276676,7.0
63.078311,12.0
45.111524,5.0
366.228741,1.0
137.170102,4.0
238.320194,2.0
361.463413,1.0
365.521201,2.0
594.003038,1.0
60.103797,43.0
102.019811,1.0
-147.954508,8.0
252.411985,14.0
15.265594,1.0
116.260948,1.0
633.323643,1.0
76.034671,1.0
227.380351,24.0
170.143948,3.0
-392.724375,1.0
68.225899,2.0
302.304092,1.0
54.245767,1.0
301.359616,34.0
492.916987,1.0
-130.877186,3.0
-226.12051,4.0
225.400219,3.0
119.238833,24.0
-67.797539,1.0
-40.961641,1.0
249.291931,49.0
538.92986,1.0
39.045948,16.0
134.215334,1.0
456.544774,1.0
32.20814,47.0
207.154452,1.0
9.897192,1.0
72.105133,1.0
138.132988,6.0
305.285132,1.0
-538.872814,1.0
-51.834987,1.0
118.182047,39.0
166.350704,1.0
-70.707145,1.0
34.332078,6.0
308.317812,15.0
95.156166,110.0
94.11667,1.0
535.941427,1.0
31.111129,1.0
-89.804355,4.0
-60.678548,1.0
-143.803687,1.0
105.111524,5.0
21.020128,1.0
592.940425,1.0
54.056847,36.0
234.259902,3.0
168.263941,1.0
-36.777806,8.0
300.197046,4.0
114.173864,1.0
218.296014,1.0
267.409147,1.0
17.305529,9.0
-168.783681,7.0
-5.647582,2.0
187.211373,1.0
77.088086,12.0
304.349385,2.0
432.058501,1.0
233.271864,6.0
30.994581,3.0
-123.943275,6.0
115.327054,5.0
173.066305,1.0
68.9541,1.0
-382.718895,1.0
-4.847995,1.0
316.441949,2.0
263.441888,9.0
104.297333,1.0
-245.794975,1.0
350.222593,1.0
-17.877776,1.0
203.259963,16.0
-32.885821,1.0
386.531432,1.0
-4.906161,2.0
-371.365096,1.0
19.295558,1.0
-15.807115,1.0
-169.135431,1.0
-55.859545,17.0
222.099107,2.0
41.218371,74.0
112.196634,9.0
423.563066,1.0
-83.87559,1.0
-18.885426,2.0
101.174593,1.0
-6.904521,4.0
71.086767,1.0
354.876515,1.0
261.244313,3.0
432.404592,1.0
195.190837,1.0
642.309421,1.0
282.411317,29.0
-1.761822,5.0
-23.94836,2.0
-31.847661,1.0
50.184824,1.0
-77.774496,1.0
104.2504,7.0
541.930862,1.0
-122.766101,1.0
378.428425,1.0
223.134763,2.0
38.083062,8.0
-28.824361,2.0
25.258974,3.0
315.327648,1.0
425.364428,2.0
253.3715,1.0
205.327253,25.0
-11.745305,1.0
248.475236,1.0
6.16198,1.0
150.056196,1.0
-3.79186,22.0
-52.953779,25.0
24.219947,1.0
76.31028,1.0
300.325478,1.0
-10.813796,3.0
216.066761,2.0
-100.042533,1.0
-9.969095,1.0
-181.970752,1.0
36.214939,1.0
-184.255485,2.0
450.489962,1.0
91.974575,1.0
149.141579,4.0
195.187466,10.0
337.357112,1.0
551.936342,1.0
58.321712,1.0
255.211967,3.0
244.144343,1.0
-149.701075,1.0
264.26057,1.0
116.178281,2.0
-7.813263,16.0
95.10738,1.0
127.277617,1.0
181.276949,4.0
198.134324,1.0
74.050048,1.0
356.14712,1.0
-208.802881,1.0
-11.966986,3.0
30.286174,1.0
145.970752,1.0
411.906756,1.0
2.963281,4.0
148.313651,2.0
-69.854065,1.0
-322.21441,2.0
203.183171,1.0
664.354609,1.0
605.946907,1.0
222.30752,11.0
114.285054,10.0
188.257793,1.0
140.990485,1.0
217.411256,11.0
200.430989,1.0
-60.057515,3.0
-132.882939,1.0
-10.762156,3.0
-49.892107,1.0
166.962357,1.0
-192.765055,1.0
310.394999,4.0
280.140972,1.0
80.116275,1.0
423.36874,1.0
278.329895,1.0
49.031634,1.0
-34.093505,1.0
-28.012674,1.0
-67.746368,1.0
12.14554,29.0
203.993991,1.0
470.429488,1.0
753.331553,1.0
145.124198,6.0
51.102295,1.0
159.469817,1.0
-100.05243,7.0
-55.009185,3.0
-21.6326,1.0
-43.845626,8.0
17.156834,2.0
97.440899,3.0
-139.173351,1.0
548.328394,1.0
189.400219,1.0
309.364701,8.0
90.956209,1.0
444.360345,1.0
95.219039,2.0
-137.10269,1.0
137.385041,2.0
67.259173,30.0
23.940498,1.0
-134.741816,1.0
238.373869,7.0
-107.037981,1.0
156.347077,1.0
-207.838358,1.0
11.206939,3.0
236.238516,2.0
232.254149,1.0
8.171755,66.0
-63.944142,1.0
-28.907497,57.0
44.425583,4.0
149.250734,12.0
-75.998286,2.0
145.096542,1.0
147.249003,42.0
307.067868,1.0
670.344044,1.0
301.505156,1.0
-134.970023,1.0
-152.01096,10.0
11.185809,1.0
-16.907497,67.0
1.126185,1.0
-24.841847,1.0
1.234689,2.0
137.072831,2.0
167.236147,1.0
111.099441,2.0
-66.853748,1.0
280.258856,1.0
395.900608,1.0
-133.70616,1.0
40.113967,107.0
-60.668651,1.0
562.972072,1.0
92.081226,2.0
19.249276,15.0
232.250127,8.0
-264.172545,1.0
268.177357,1.0
172.117338,1.0
87.296621,13.0
226.264714,2.0
374.388746,2.0
759.378503,1.0
-166.759302,1.0
317.484816,2.0
40.24961,3.0
42.181257,29.0
303.397914,1.0
