weight,molecular,strength,C,H,O,N,S,P,Cl,Br,I,DBE,O/C,H/C,N/C,S/C,P/C,Cl/C,Br/C,I/C,Almod,NOSC,X/C,DBE-O,DBE/C
101.047679,C4H7O2N1,3.49023090119396e-05,4,7,2,1,0,0,0,0,0,2.0,0.5,1.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
109.027612,C4H3O1N3,3.20130258591856e-05,4,3,1,3,0,0,0,0,0,5.0,0.25,0.75,0.75,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,4.0,1.25
118.041865,C8H6O1,3.22071493126705e-05,8,6,1,0,0,0,0,0,0,6.0,0.125,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,-0.5,0.0,5.0,0.75
128.01096,C5H4O4,3.4187535907638e-05,5,4,4,0,0,0,0,0,0,4.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.7999999999999998,0.0,0.0,0.8
129.090212,C5H11O1N3,3.61665997978717e-05,5,11,1,3,0,0,0,0,0,2.0,0.2,2.2,0.6,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.4
135.06841400000002,C8H9O1N1,3.59664415040392e-05,8,9,1,1,0,0,0,0,0,5.0,0.125,1.125,0.125,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,-0.5,0.0,4.0,0.625
154.037843,C6H6O3N2,3.52452367479698e-05,6,6,3,2,0,0,0,0,0,5.0,0.5,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,1.0,0.0,2.0,0.8333333333333334
150.06808,C9H10O2,6.09752663176281e-05,9,10,2,0,0,0,0,0,0,5.0,0.2222222222222222,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.47058823529411764,-0.666666666666667,0.0,3.0,0.5555555555555556
154.074228,C7H10O2N2,3.16667417598936e-05,7,10,2,2,0,0,0,0,0,4.0,0.2857142857142857,1.4285714285714286,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,2.0,0.5714285714285714
157.982636,C9H2O1S1,3.30901704591033e-05,9,2,1,0,1,0,0,0,0,9.0,0.1111111111111111,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,1.0,0.22222222222222232,0.0,8.0,1.0
158.032758,C5H6O4N2,3.28831175668461e-05,5,6,4,2,0,0,0,0,0,4.0,0.8,1.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.8
160.030649,C5H8O2N2S1,3.62491861746843e-05,5,8,2,2,1,0,0,0,0,3.0,0.4,1.6,0.4,0.2,0.0,0.0,0.0,0.0,-0.6666666666666666,0.7999999999999998,0.0,1.0,0.6
165.045965,C5H11O3N1S1,3.27149521937608e-05,5,11,3,1,1,0,0,0,0,1.0,0.6,2.2,0.2,0.2,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-2.0,0.2
165.053827,C7H7O2N3,3.66005792210104e-05,7,7,2,3,0,0,0,0,0,6.0,0.2857142857142857,1.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428572,0.0,4.0,0.8571428571428571
166.02661,C8H6O4,8.42724616043356e-05,8,6,4,0,0,0,0,0,0,6.0,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.25,0.0,2.0,0.75
168.017108,C6H4O4N2,3.30931630785634e-05,6,4,4,2,0,0,0,0,0,6.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,1.6666666666666665,0.0,2.0,1.0
168.11503000000002,C10H16O2,3.30580287340735e-05,10,16,2,0,0,0,0,0,0,3.0,0.2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,-1.2000000000000002,0.0,1.0,0.3
170.05791,C8H10O4,4.39360847347895e-05,8,10,4,0,0,0,0,0,0,4.0,0.5,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,-0.25,0.0,0.0,0.5
172.07356000000001,C8H12O4,5.41467039268624e-05,8,12,4,0,0,0,0,0,0,3.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,-0.5,0.0,-1.0,0.375
171.016774,C6H5O5N1,3.49249603305048e-05,6,5,5,1,0,0,0,0,0,5.0,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.3333333333333335,0.0,0.0,0.8333333333333334
174.05282499999998,C7H10O5,3.42591934365881e-05,7,10,5,0,0,0,0,0,0,3.0,0.7142857142857143,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,-2.0,0.42857142857142855
174.08921,C8H14O4,6.6567397390916e-05,8,14,4,0,0,0,0,0,0,2.0,0.5,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.75,0.0,-2.0,0.25
176.10486,C8H16O4,4.75316260801217e-05,8,16,4,0,0,0,0,0,0,1.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13333333333333333,-1.0,0.0,-3.0,0.125
178.062995,C10H10O3,5.15638087918692e-05,10,10,3,0,0,0,0,0,0,6.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47368421052631576,-0.40000000000000036,0.0,3.0,0.6
178.09938000000002,C11H14O2,4.31919971868265e-05,11,14,2,0,0,0,0,0,0,5.0,0.18181818181818182,1.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,-0.9090909090909092,0.0,3.0,0.45454545454545453
180.04226,C9H8O4,0.000144321669270257,9,8,4,0,0,0,0,0,0,6.0,0.4444444444444444,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.47058823529411764,0.0,0.0,2.0,0.6666666666666666
180.078645,C10H12O3,5.21136571496831e-05,10,12,3,0,0,0,0,0,0,5.0,0.3,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3684210526315789,-0.5999999999999996,0.0,2.0,0.5
180.11503000000002,C11H16O2,3.72616505131223e-05,11,16,2,0,0,0,0,0,0,4.0,0.18181818181818182,1.4545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,-1.0909090909090908,0.0,2.0,0.36363636363636365
182.021525,C8H6O5,3.36501871095578e-05,8,6,5,0,0,0,0,0,0,6.0,0.625,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.5,0.0,1.0,0.75
184.07356000000001,C9H12O4,5.46409325506228e-05,9,12,4,0,0,0,0,0,0,4.0,0.4444444444444444,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,-0.44444444444444464,0.0,0.0,0.4444444444444444
182.09429500000002,C10H14O3,3.78624560708035e-05,10,14,3,0,0,0,0,0,0,4.0,0.3,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2631578947368421,-0.7999999999999998,0.0,1.0,0.4
