weight,molecular,strength,C,H,O,N,S,P,Cl,Br,I,DBE,O/C,H/C,N/C,S/C,P/C,Cl/C,Br/C,I/C,Almod,NOSC,X/C,DBE-O,DBE/C
122.03678,C7H6O2,1972573.0,7,6,2,0,0,0,0,0,0,5.0,0.2857142857142857,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.6923076923076923,-0.2857142857142856,0.0,3.0,0.7142857142857143
126.104465,C8H14O1,1387681.0,8,14,1,0,0,0,0,0,0,2.0,0.125,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.5,0.0,1.0,0.25
130.062995,C6H10O3,777546.0,6,10,3,0,0,0,0,0,0,2.0,0.5,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,-0.666666666666667,0.0,-1.0,0.3333333333333333
142.008851,C6H6O2S1,817353.0,6,6,2,0,1,0,0,0,0,4.0,0.3333333333333333,1.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,2.0,0.6666666666666666
142.062995,C7H10O3,804979.0,7,10,3,0,0,0,0,0,0,3.0,0.42857142857142855,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,-0.5714285714285712,0.0,0.0,0.42857142857142855
142.09938,C8H14O2,1526938.0,8,14,2,0,0,0,0,0,0,2.0,0.25,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.25,0.0,0.0,0.25
144.04226,C6H8O4,839520.0,6,8,4,0,0,0,0,0,0,3.0,0.6666666666666666,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.0,0.0,-1.0,0.5
144.078645,C7H12O3,1038312.0,7,12,3,0,0,0,0,0,0,2.0,0.42857142857142855,1.7142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,-0.8571428571428568,0.0,-1.0,0.2857142857142857
144.11503,C8H16O2,5200048.0,8,16,2,0,0,0,0,0,0,1.0,0.25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,-1.5,0.0,-1.0,0.125
145.052764,C9H7O1N1,9129342.0,9,7,1,1,0,0,0,0,0,7.0,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,-0.22222222222222232,0.0,6.0,0.7777777777777778
